Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Test or Training,Order pressed,Response type,Age,TACL Vocab Raw,TACL Grammar Morph Raw ,TACL EPS RAW,TEMA RAW,FORWARDS DIGITS,STD ACC,EXCLUDE,Notes
k0467,2015.04.03,5,2,B,A,1,0,No Hint,Unknown,,bl,bl,5.283333,62.73333,4006,4,1,FALSE,0,6,2,0,4006.02,,40,3,2,1,TEST,BCDA,ALL OTHER,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,6,2,C,B,1,0,No Hint,Unknown,,bl,bl,2.35,65.08333,4006,4,1,FALSE,0,6,5,2,4006.03,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,7,2,D,C,1,0,No Hint,Unknown,,bl,bl,3.183333,68.26667,4006,4,1,FALSE,0,6,1,5,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,8,2,A,D,1,0,No Hint,Unknown,1,0,bl,0.9666667,69.23333,4006,4,1,FALSE,0,6,0,1,4006.01,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,9,3,B,A,1,0,No Hint,Unknown,,bl,bl,4.133333,77.8,4006,4,1,FALSE,0,6,0,4,4006.02,,40,3,2,1,TEST,BDCA,ALL OTHER,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,10,3,D,B,1,0,No Hint,Unknown,,bl,bl,1.75,79.55,4006,4,1,FALSE,0,6,1,0,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,11,3,C,C,1,0,No Hint,Unknown,,bl,bl,3.9,83.45,4006,4,1,FALSE,0,6,3,3,4006.03,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,12,3,A,D,1,0,No Hint,Unknown,1,0,bl,1.05,84.5,4006,4,1,FALSE,0,6,4,1,4006.01,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,14,5,C,A,1,0,No Hint,Unknown,,bl,bl,3.5,107.3333,4006,4,1,FALSE,0,6,5,2,4006.03,,40,3,2,1,TEST,CBDA,ALL OTHER,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,15,5,B,B,1,0,No Hint,Unknown,,bl,bl,2.55,109.8833,4006,4,1,FALSE,0,6,1,1,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,16,5,D,C,1,0,No Hint,Unknown,,bl,bl,3.733333,113.6167,4006,4,1,FALSE,0,6,0,5,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,17,5,A,D,1,0,No Hint,Unknown,1,0,bl,0.85,114.4667,4006,4,1,FALSE,0,6,2,0,4006.01,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,24,10,A,A,1,0,No Hint,Unknown,,bl,bl,2.183333,166.9333,4006,4,1,FALSE,0,6,5,5,4006.01,,40,3,2,1,TEST,ADBC,ALL OTHER,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,25,10,D,B,1,0,No Hint,Unknown,,bl,bl,4,170.9333,4006,4,1,FALSE,0,6,1,0,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,26,10,B,C,1,0,No Hint,Unknown,,bl,bl,4.183333,175.1167,4006,4,1,FALSE,0,6,0,4,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,27,10,C,D,1,0,No Hint,Unknown,1,0,bl,1.366667,176.4833,4006,4,1,FALSE,0,6,4,1,4006.03,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,28,11,A,A,1,0,No Hint,Unknown,,bl,bl,3.633333,185.55,4006,4,1,FALSE,0,6,0,0,4006.01,,40,3,2,1,TEST,ACBD,Crossed,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,29,11,C,B,1,0,No Hint,Unknown,,bl,bl,3.266667,188.8167,4006,4,1,FALSE,0,6,1,5,4006.03,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,30,11,B,C,1,0,No Hint,Unknown,,bl,bl,3.35,192.1667,4006,4,1,FALSE,0,6,5,1,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,31,11,D,D,1,0,No Hint,Unknown,1,0,bl,1.233333,193.4,4006,4,1,FALSE,0,6,4,4,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
