Group,Sub,Date,Press,Trial,ItemPressed,RT,Time,List,Items,PortPressed,TO,ITI,Exposure,Order pressed,Response Type,List Number,Comments
Monkeys,Horatio,2015.08.10,1,1,A,2.566667,28.38333,4003,4,0,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,2,1,D,0.6333333,28.98333,4003,4,3,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,3,1,C,0.55,29.53333,4003,4,5,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,4,1,B,0.7166667,30.25,4003,4,1,3,4,2,ADCB,All Other,2.1,
Monkeys,Horatio,2015.08.10,5,2,A,2.4,39.55,4003,4,0,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,6,2,C,0.9166667,40.46667,4003,4,5,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,7,2,D,0.8333333,41.3,4003,4,2,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,8,2,B,0.5833333,41.88333,4003,4,4,3,4,2,ACDB,Center Embedded,2.1,
Monkeys,Horatio,2015.08.10,9,3,C,2.716667,50.5,4003,4,11,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,10,3,D,1.016667,51.51667,4003,4,9,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,11,3,A,0.7,52.21667,4003,4,1,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,12,3,B,0.5,52.71667,4003,4,0,3,4,2,CDAB,Tail Embedded,2.1,
Monkeys,Horatio,2015.08.10,13,4,A,2.4,61,4003,4,10,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,14,4,C,0.65,61.65,4003,4,3,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,15,4,D,0.7,62.35,4003,4,1,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,16,4,B,1.066667,63.41667,4003,4,0,3,4,2,ACDB,Center Embedded,2.1,
Monkeys,Horatio,2015.08.10,17,5,A,1.616667,70.81667,4003,4,3,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,18,5,C,0.7666667,71.58333,4003,4,8,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,19,5,D,0.45,72.03333,4003,4,5,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,20,5,B,0.3166667,72.35,4003,4,4,3,4,2,ACDB,Center Embedded,2.1,
Monkeys,Horatio,2015.08.10,21,6,A,2.133333,80.41667,4003,4,7,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,22,6,C,0.5666667,80.98333,4003,4,9,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,23,6,D,0.6333333,81.61667,4003,4,3,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,24,6,B,0.5833333,82.2,4003,4,5,3,4,2,ACDB,Center Embedded,2.1,
Monkeys,Horatio,2015.08.10,25,7,A,1.866667,120.1167,4003,4,9,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,26,7,C,0.6833333,120.8,4003,4,8,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,27,7,B,1.7,122.5,4003,4,4,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,28,7,D,0.8666667,123.3667,4003,4,1,3,4,2,ACBD,Crossed,2.1,
Monkeys,Horatio,2015.08.10,29,8,C,2.383333,131.5833,4003,4,0,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,30,8,D,1.266667,132.85,4003,4,10,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,31,8,A,0.65,133.5,4003,4,1,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,32,8,B,0.6,134.1,4003,4,6,3,4,2,CDAB,Tail Embedded,2.1,
Monkeys,Horatio,2015.08.10,33,9,C,2.35,142.9167,4003,4,11,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,34,9,A,0.5666667,143.4833,4003,4,8,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,35,9,D,0.9166667,144.4,4003,4,1,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,36,9,B,0.35,144.75,4003,4,3,3,4,2,CADB,Crossed,2.1,
Monkeys,Horatio,2015.08.10,37,10,A,2.3,152.9167,4003,4,7,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,38,10,C,0.5333333,153.45,4003,4,11,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,39,10,D,1.266667,154.7167,4003,4,3,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,40,10,B,0.4166667,155.1333,4003,4,5,3,4,2,ACDB,Center Embedded,2.1,
Monkeys,Horatio,2015.08.10,41,11,C,3,163.9833,4003,4,2,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,42,11,D,0.9666667,164.95,4003,4,9,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,43,11,B,0.3166667,165.2667,4003,4,10,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,44,11,A,1.4,166.6667,4003,4,8,3,4,2,CDBA,All Other,2.1,
Monkeys,Horatio,2015.08.10,45,12,C,2.316667,176.7833,4003,4,6,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,46,12,D,1.016667,177.8,4003,4,10,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,47,12,A,0.6,178.4,4003,4,9,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,48,12,C,0.5333333,178.9333,4003,4,6,3,4,2,CDAC,All Other,2.1,
Monkeys,Horatio,2015.08.10,49,13,A,1.716667,186.55,4003,4,6,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,50,13,C,0.6666667,187.2167,4003,4,0,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,51,13,D,0.5,187.7167,4003,4,7,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,52,13,B,0.4833333,188.2,4003,4,2,3,4,2,ACDB,Center Embedded,2.1,
Monkeys,Horatio,2015.08.10,53,14,A,2.116667,198.5167,4003,4,3,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,54,14,C,0.4,198.9167,4003,4,0,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,55,14,D,0.5666667,199.4833,4003,4,9,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,56,14,B,0.4666667,199.95,4003,4,5,3,4,2,ACDB,Center Embedded,2.1,
Monkeys,Horatio,2015.08.10,57,15,A,1.633333,207.5833,4003,4,6,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,58,15,C,0.5333333,208.1167,4003,4,9,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,59,15,D,0.7166667,208.8333,4003,4,4,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,60,15,B,0.3333333,209.1667,4003,4,5,3,4,2,ACDB,Center Embedded,2.1,
Monkeys,Horatio,2015.08.10,61,16,A,2.516667,217.9333,4003,4,10,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,62,16,C,0.7666667,218.7,4003,4,1,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,63,16,D,0.4666667,219.1667,4003,4,0,3,4,2,,,2.1,
Monkeys,Horatio,2015.08.10,64,16,B,0.4,219.5667,4003,4,4,3,4,2,ACDB,Center Embedded,2.1,
