Sub,Probe Number,Number Words?,List #,Probe?,Response,Order pressed,Corrected?,Accuracy,Coder,SidebySideProbe,Crossed Probe,Correct Probe
69,1,1,4,1,([]),ACDB,0,,Abby,0,0,1
69,2,1,4,1,[)(],CBAD,0,,Abby,0,0,0
69,3,1,4,1,[()],CABD,0,,Abby,0,0,1
69,4,1,4,1,([]),ACDB,0,,Abby,0,0,1
69,5,1,4,1,([]),ACDB,0,,Abby,0,0,1
69,6,1,4,1,([]),ACDB,0,,Abby,0,0,1
69,7,1,4,1,([]),ACDB,0,,Abby,0,0,1
69,8,1,4,1,([]),ACDB,0,,Abby,0,0,1
69,9,1,4,1,([]),ACDB,0,,Abby,0,0,1
69,10,1,4,1,([]),ACDB,0,,Abby,0,0,1
69,11,1,4,1,([]),ACDB,0,,Abby,0,0,1
70,1,1,4,1,[)(],CBAD,0,,Abby,0,0,0
70,2,1,4,1,(][),ADCB,0,,Abby,0,0,0
70,3,1,4,1,(][),ADCB,0,,Abby,0,0,0
70,4,1,4,1,([)],ACBD,0,,Abby,0,1,0
70,5,1,4,1,(][),ADCB,0,,Abby,0,0,0
70,6,1,4,1,[()],CABD,0,,Abby,0,0,1
70,7,1,4,1,([]),ACDB,0,,Abby,0,0,1
70,8,1,4,1,(][),ADCB,0,,Abby,0,0,0
70,9,1,4,1,([]),ACDB,0,,Abby,0,0,1
70,10,1,4,1,[()],CABD,0,,Abby,0,0,1
70,11,1,4,1,([)],ACBD,0,,Abby,0,1,0
70,12,1,4,1,([]),ACDB,0,,Abby,0,0,1
71,1,1,4,1,([)],ACBD,0,,Abby,0,1,0
71,2,1,4,1,[(]),CADB,0,,Abby,0,1,0
71,3,1,4,1,[(]),CADB,0,,Abby,0,1,0
71,4,1,4,1,][(),DCAB,0,,Abby,0,0,0
71,5,1,4,1,([]),ACDB,0,,Abby,0,0,1
71,6,1,4,1,[(]),CADB,0,,Abby,0,1,0
71,7,1,4,1,[(]),CADB,0,,Abby,0,1,0
71,8,1,4,1,[()],CABD,0,,Abby,0,0,1
71,9,1,4,1,[(]),CADB,0,,Abby,0,1,0
71,10,1,4,1,[(]),CADB,0,,Abby,0,1,0
71,11,1,4,1,[(]),CADB,0,,Abby,0,1,0
71,12,1,4,1,[(]),CADB,0,,Abby,0,1,0
72,1,0,4,1,[(]),CADB,0,,Abby,0,1,0
72,2,0,4,1,[()],CABD,0,,Abby,0,0,1
72,3,0,4,1,[](),CDAB,0,,Abby,1,0,0
72,4,0,4,1,([)],ACBD,0,,Abby,0,1,0
72,5,0,4,1,()[],ABCD,0,,Abby,1,0,0
72,6,0,4,1,[(]),CADB,0,,Abby,0,1,0
72,7,0,4,1,(][),ADCB,0,,Abby,0,0,0
72,8,0,4,1,([]),ACDB,0,,Abby,0,0,1
72,9,0,4,1,([]),ACDB,0,,Abby,0,0,1
72,10,0,4,1,([]),ACDB,0,,Abby,0,0,1
72,11,0,4,1,([]),ACDB,0,,Abby,0,0,1
72,12,0,4,1,(][),ADCB,0,,Abby,0,0,0
1903,1,0,4,1,(][),ADCB,0,,Abby,0,0,0
1903,2,0,4,1,[])(,CDBA,0,,Abby,0,0,0
1903,3,0,4,1,[)](,CBDA,0,,Abby,0,0,0
1903,4,0,4,1,()][,ABDC,0,,Abby,0,0,0
1903,5,0,4,1,[()],CABD,0,,Abby,0,0,1
1903,6,0,4,1,[)(],CBAD,0,,Abby,0,0,0
