Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Session,Order pressed,Response type
S1,2017.08.10,9,3,A,A,1,0,No Hint,Unknown,bl,bl,bl,3.066667,26.83333,4006,4,1,FALSE,0,6,5,5,4006.01,,40,3,2,1,Testing,ACDB,Center Embedded
S1,2017.08.10,10,3,C,B,1,0,No Hint,Unknown,bl,bl,bl,0.45,27.28333,4006,4,1,FALSE,0,6,1,0,4006.03,,40,3,2,1,Testing,,
S1,2017.08.10,11,3,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.4,27.68333,4006,4,1,FALSE,0,6,2,1,4006.04,,40,3,2,1,Testing,,
S1,2017.08.10,12,3,B,D,1,0,No Hint,Unknown,1,0,bl,0.4,28.08333,4006,4,1,FALSE,0,6,0,2,4006.02,,40,3,2,1,Testing,,
S1,2017.08.10,21,6,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.633333,48.75,4006,4,1,FALSE,0,6,1,1,4006.01,,40,3,2,1,Testing,ACDB,Center Embedded
S1,2017.08.10,22,6,C,B,1,0,No Hint,Unknown,bl,bl,bl,0.4166667,49.16667,4006,4,1,FALSE,0,6,0,3,4006.03,,40,3,2,1,Testing,,
S1,2017.08.10,23,6,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.7166667,49.88333,4006,4,1,FALSE,0,6,2,0,4006.04,,40,3,2,1,Testing,,
S1,2017.08.10,24,6,B,D,1,0,No Hint,Unknown,1,0,bl,0.5,50.38333,4006,4,1,FALSE,0,6,3,2,4006.02,,40,3,2,1,Testing,,
S1,2017.08.10,25,7,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.95,56.48333,4006,4,1,FALSE,0,6,4,4,4006.01,,40,3,2,1,Testing,ACDB,Center Embedded
S1,2017.08.10,26,7,C,B,1,0,No Hint,Unknown,bl,bl,bl,0.3833333,56.86667,4006,4,1,FALSE,0,6,5,2,4006.03,,40,3,2,1,Testing,,
